,Temperature[C],Humidity[%],TVOC[ppb],eCO2[ppm],Raw H2,Raw Ethanol,Pressure[hPa],PM1.0,PM2.5,NC0.5,NC1.0,NC2.5
32403,18.65,55.02,267,400,13125,20003,939.52,0.53,0.55,3.62,0.564,0.013
13396,20.165,47.5,1159,535,12834,19435,938.898,1.69,1.76,11.63,1.814,0.041
29278,22.4,47.7,101,400,13231,20119,939.668,1.91,1.99,13.17,2.054,0.046
18965,20.787,50.71,1170,400,12920,19432,938.695,1.49,1.54,10.23,1.596,0.036
21490,-5.114,48.99,1304,400,12961,19406,938.72,1.92,2.0,13.23,2.063,0.047
52541,25.91,47.5,82,400,12784,20637,937.468,1.84,1.91,12.68,1.977,0.045
49742,26.92,47.84,1312,416,12989,19394,938.809,1.84,1.91,12.65,1.972,0.045
29547,19.92,53.67,64,400,13248,20152,939.673,2.11,2.19,14.54,2.267,0.051
2742,14.742,46.24,141,400,13169,20048,939.624,1.01,1.05,6.98,1.089,0.025
23568,-20.137,53.67,1415,419,12965,19385,938.711,1.78,1.85,12.24,1.909,0.043
17904,17.869,47.56,1136,400,12912,19443,938.7,1.73,1.8,11.9,1.855,0.042
6175,-8.114,55.45,162,400,13179,20105,939.67,0.87,0.91,6.0,0.936,0.021
49415,25.47,54.25,1276,400,12999,19410,938.805,1.9,1.97,13.08,2.039,0.046
14916,13.478,50.53,1222,476,12853,19430,938.831,1.92,2.0,13.22,2.062,0.047
43233,24.44,53.83,1197,413,12905,19430,938.687,2.0,2.08,13.75,2.144,0.048
26621,16.21,52.51,29,400,13115,20021,939.603,0.71,0.74,4.89,0.763,0.017
43028,25.27,49.65,1187,413,12904,19440,938.731,2.05,2.13,14.08,2.196,0.05
11751,14.463,53.13,1082,614,12806,19457,939.08,2.01,2.09,13.83,2.156,0.049
58551,-4.659,41.2,74,400,12797,20655,937.393,1.73,1.8,11.9,1.856,0.042
24330,-6.353,47.41,1306,400,13000,19404,938.8,2.03,2.11,13.99,2.182,0.049
23775,-17.832,48.55,1358,404,12984,19388,938.7,2.18,2.27,15.01,2.34,0.053
55993,45.93,28.49,48967,940,12535,18528,936.836,51.03,53.02,351.24,54.772,1.237
23677,-19.046,51.74,1346,402,12976,19381,938.703,1.76,1.82,12.08,1.884,0.043
5405,-9.243,51.82,1,400,13273,20231,939.73,2.28,2.37,15.67,2.443,0.055
41731,24.47,53.68,1122,400,12885,19457,938.76,1.73,1.8,11.94,1.862,0.042
60677,12.839,44.21,0,400,13402,21204,937.41,2.01,2.08,13.8,2.152,0.049
28221,19.58,64.75,22,400,13272,20196,939.697,2.44,2.53,16.79,2.619,0.059
1220,26.93,51.74,30,400,13055,19932,939.753,0.37,0.39,2.56,0.399,0.009
24166,-10.609,52.45,1122,400,13029,19443,938.773,1.95,2.03,13.44,2.097,0.047
7478,-4.24,56.3,259,400,13122,19992,939.483,0.53,0.55,3.64,0.567,0.013
804,26.808,56.93,0,400,12983,19926,939.793,0.17,0.18,1.17,0.183,0.004
5876,-8.877,55.98,34,400,13244,20229,939.659,2.17,2.25,14.92,2.326,0.053
20255,13.912,50.59,1396,438,12922,19389,938.735,1.63,1.69,11.2,1.746,0.039
61633,8.412,19.28,106,400,13530,21055,936.81,0.85,0.89,5.87,0.916,0.021
19983,16.789,52.4,1105,400,12940,19449,938.732,1.67,1.73,11.47,1.789,0.04
27591,19.89,51.66,52,400,13215,20130,939.636,1.04,1.08,7.16,1.116,0.025
54758,25.19,44.78,0,400,13260,21197,937.411,1.69,1.75,11.62,1.812,0.041
40842,26.6,49.13,1138,417,12874,19445,938.801,1.76,1.83,12.13,1.891,0.043
19035,20.791,48.15,1207,400,12921,19425,938.723,1.7,1.76,11.68,1.821,0.041
58880,-4.982,47.83,128,400,12785,20594,937.33,2.0,2.08,13.76,2.145,0.048
51249,29.93,38.74,21,421,12859,20766,937.588,2.21,2.29,15.2,2.371,0.054
7744,-4.08,55.52,299,400,13110,19971,939.43,0.35,0.36,2.38,0.371,0.008
58467,-5.709,47.78,109,418,12778,20620,937.43,1.98,2.05,13.6,2.121,0.048
4196,-2.497,53.5,88,400,13249,20132,939.636,2.3,2.39,15.86,2.473,0.056
57456,17.76,41.76,48,400,12840,20710,937.484,1.72,1.78,11.81,1.841,0.042
1486,26.03,50.41,2,400,13122,20015,939.704,0.61,0.63,4.2,0.655,0.015
38548,24.55,53.09,1136,517,12849,19439,938.864,1.88,1.95,12.92,2.015,0.046
24635,3.685,50.75,1358,420,12982,19390,938.804,2.14,2.23,14.75,2.301,0.052
29335,22.36,47.93,96,400,13237,20122,939.649,2.08,2.16,14.28,2.228,0.05
13047,20.816,46.97,1076,549,12837,19463,938.912,1.96,2.04,13.51,2.107,0.048
61909,-10.948,22.55,60000,13786,11191,16301,936.876,7607.45,9933.14,47260.43,10591.723,2154.207
45984,24.51,53.36,1350,410,12952,19391,938.7,1.92,1.99,13.21,2.06,0.047
51095,31.38,18.94,0,723,13165,20950,930.896,1.02,1.06,7.04,1.097,0.025
9760,-4.071,52.64,686,838,12702,19567,939.111,2.46,2.56,16.95,2.643,0.06
56807,48.35,14.71,944,400,13688,20427,936.679,0.68,0.7,4.65,0.725,0.016
30968,20.09,51.64,131,400,13198,20142,939.695,2.01,2.09,13.83,2.157,0.049
1072,27.115,56.07,17,400,13040,19932,939.803,0.3,0.31,2.06,0.321,0.007
811,26.827,53.0,0,400,12981,19921,939.808,0.14,0.15,1.0,0.156,0.004
60466,12.07,38.44,0,400,13313,21312,937.463,1.94,2.02,13.35,2.082,0.047
6388,-7.424,48.86,180,400,13170,20089,939.669,0.85,0.88,5.85,0.912,0.021
52684,28.82,41.33,84,400,12789,20643,937.402,1.93,2.01,13.31,2.075,0.047
8035,-4.217,56.46,293,400,13126,19972,939.389,0.34,0.35,2.34,0.365,0.008
61329,20.404,22.77,13226,534,12748,19134,936.89,0.94,0.98,6.5,1.014,0.023
24006,-14.043,50.66,1375,400,12985,19395,938.737,1.57,1.63,10.8,1.684,0.038
52842,25.82,47.87,118,410,12781,20601,937.414,1.89,1.97,13.04,2.033,0.046
30822,21.63,51.57,6,400,13271,20248,939.642,2.24,2.33,15.45,2.409,0.054
27092,17.57,50.64,24,400,13135,20035,939.628,0.83,0.86,5.68,0.886,0.02
27318,20.23,47.43,20,400,13207,20137,939.62,0.84,0.87,5.76,0.898,0.02
35640,25.71,50.19,921,659,12793,19505,939.092,1.96,2.04,13.51,2.107,0.048
34683,23.55,54.98,827,951,12646,19532,939.129,2.72,2.83,18.74,2.922,0.066
59486,9.835,48.95,171,431,12779,20551,937.335,1.65,1.71,11.34,1.769,0.04
49661,26.35,50.18,1297,403,12992,19398,938.804,2.01,2.09,13.82,2.155,0.049
44590,25.07,51.0,1320,429,12912,19397,938.717,1.28,1.33,8.79,1.371,0.031
26068,13.66,56.35,22,400,13033,19930,939.806,0.31,0.32,2.12,0.33,0.007
57225,26.08,40.07,55,400,12834,20722,937.567,2.06,2.14,14.18,2.211,0.05
44670,24.45,53.84,1216,403,12927,19423,938.724,1.77,1.84,12.16,1.897,0.043
10643,2.471,51.11,914,659,12799,19504,939.095,2.05,2.13,14.14,2.204,0.05
25400,13.67,52.55,8,400,12729,19759,939.836,0.23,0.29,1.43,0.303,0.054
56201,51.46,23.73,60000,15122,11126,16012,936.822,6283.49,6972.5,42130.75,7275.051,583.473
34927,24.51,51.45,707,720,12776,19562,939.121,2.53,2.63,17.44,2.719,0.061
1596,25.464,52.52,0,400,13149,20052,939.607,0.52,0.54,3.58,0.558,0.013
22989,-21.847,49.46,1306,402,12974,19405,938.733,1.84,1.91,12.65,1.973,0.045
2706,15.17,52.72,96,400,13190,20075,939.662,1.04,1.08,7.17,1.118,0.025
41766,25.55,47.97,1193,429,12876,19423,938.76,1.85,1.92,12.75,1.988,0.045
46188,26.75,48.3,1337,400,12957,19395,938.682,1.95,2.03,13.42,2.093,0.047
43445,25.93,47.28,1300,431,12894,19399,938.731,1.58,1.64,10.89,1.698,0.038
13655,19.267,49.91,1103,517,12843,19455,938.865,1.89,1.97,13.02,2.03,0.046
14668,14.478,47.03,1168,464,12856,19439,938.873,2.06,2.14,14.18,2.211,0.05
62120,-20.998,13.05,60000,9475,11394,16795,936.733,694.85,830.42,4509.77,875.509,122.158
5370,-9.216,48.26,30,400,13248,20218,939.722,2.48,2.57,17.04,2.657,0.06
1097,27.101,50.9,3,400,13057,19962,939.758,0.2,0.21,1.37,0.214,0.005
43737,27.04,47.56,1149,400,12924,19446,938.712,1.54,1.6,10.61,1.655,0.037
50606,39.13,14.6,0,2399,12668,20352,930.934,0.91,0.94,6.23,0.971,0.022
10434,0.442,53.12,990,703,12781,19490,939.082,2.22,2.3,15.26,2.379,0.054
54107,27.8,47.0,167,411,12780,20550,937.37,1.68,1.74,11.56,1.802,0.041
59945,20.387,46.65,192,445,12761,20529,937.359,1.24,1.29,8.53,1.33,0.03
51245,29.85,38.94,25,408,12864,20762,937.601,2.37,2.46,16.29,2.541,0.057
4513,-5.352,48.84,48,400,13250,20159,939.626,2.15,2.23,14.79,2.307,0.052
19573,19.565,48.52,1222,405,12919,19422,938.706,1.47,1.53,10.12,1.578,0.036
34073,18.6,56.35,377,400,13044,19875,939.277,0.31,0.33,2.16,0.337,0.008
36246,26.56,47.86,1025,633,12802,19472,939.098,2.32,2.41,15.98,2.492,0.056
25754,14.9,51.15,15,400,12948,19885,939.755,0.25,0.26,1.69,0.264,0.006
6990,-5.358,49.93,249,400,13127,20018,939.59,0.45,0.47,3.09,0.483,0.011
36501,24.45,52.63,1107,633,12803,19456,939.07,1.99,2.07,13.72,2.14,0.048
22608,-19.841,53.49,1362,411,12962,19398,938.763,1.92,2.0,13.24,2.064,0.047
26787,19.03,48.03,33,400,13127,20009,939.626,0.82,0.85,5.66,0.883,0.02
30918,19.64,54.8,99,400,13215,20174,939.637,1.94,2.02,13.37,2.085,0.047
29205,22.02,49.42,89,400,13240,20125,939.633,2.19,2.28,15.07,2.35,0.053
11124,7.695,49.8,1025,641,12802,19479,939.087,2.39,2.48,16.44,2.563,0.058
52911,28.28,43.39,93,400,12792,20645,937.384,1.86,1.93,12.81,1.997,0.045
14148,16.994,52.79,1140,503,12846,19440,938.912,1.96,2.04,13.5,2.106,0.048
27392,18.05,51.25,42,400,13199,20127,939.599,0.95,0.99,6.57,1.025,0.023
26908,19.39,47.18,57,400,13122,19994,939.625,0.64,0.66,4.39,0.685,0.015
38064,24.58,52.83,1118,544,12835,19457,938.897,2.1,2.18,14.42,2.249,0.051
40628,25.27,49.44,1293,455,12861,19416,938.81,1.76,1.83,12.11,1.888,0.043
1534,25.796,55.03,0,400,13136,20033,939.657,0.67,0.7,4.64,0.724,0.016
2969,11.982,45.31,161,400,13154,20013,939.65,0.93,0.97,6.43,1.003,0.023
44407,25.34,49.03,1253,426,12917,19417,938.673,2.0,2.08,13.77,2.147,0.049
501,25.356,55.86,11,400,12776,19774,939.826,0.27,0.28,1.84,0.287,0.006
34943,23.25,51.14,783,759,12749,19536,939.121,2.27,2.36,15.64,2.438,0.055
21035,2.442,50.38,1446,436,12934,19368,938.681,1.99,2.07,13.71,2.137,0.048
14225,16.61,50.22,1113,469,12863,19458,938.909,1.91,1.98,13.14,2.049,0.046
37137,26.95,47.21,1063,580,12824,19466,939.009,1.64,1.7,11.27,1.757,0.04
32978,20.18,54.76,288,400,13122,19972,939.403,0.27,0.28,1.83,0.285,0.006
30710,21.96,49.53,31,400,13254,20218,939.662,2.15,2.23,14.77,2.304,0.052
23433,-21.127,49.33,1448,427,12960,19369,938.691,1.99,2.07,13.69,2.135,0.048
18925,20.77,47.57,1197,400,12919,19437,938.687,1.82,1.89,12.55,1.957,0.044
60476,12.041,38.45,0,400,13257,21236,937.471,1.71,1.78,11.8,1.84,0.042
55909,43.29,18.48,0,400,13640,21357,936.809,1.14,1.19,7.87,1.227,0.028
35138,22.83,56.31,940,726,12763,19495,939.103,2.38,2.47,16.38,2.554,0.058
31329,19.65,52.49,184,400,13156,20078,939.66,0.94,0.98,6.49,1.012,0.023
28592,20.04,58.15,338,400,13094,19872,939.641,1.53,1.59,10.55,1.646,0.037
49057,26.06,52.01,1186,400,13040,19436,938.744,2.04,2.12,14.07,2.194,0.05
35452,24.41,55.8,824,650,12798,19524,939.113,1.97,2.05,13.55,2.114,0.048
8074,-4.253,55.16,320,400,13105,19944,939.396,0.36,0.37,2.46,0.384,0.009
25140,12.09,49.32,39,455,12541,19629,939.817,0.0,0.0,0.0,0.001,0.001
34156,20.84,51.69,362,400,13051,19889,939.258,0.3,0.32,2.09,0.326,0.007
18495,20.024,48.17,1205,400,12912,19428,938.738,1.71,1.77,11.74,1.83,0.041
49626,25.41,48.41,1318,420,12984,19396,938.819,2.19,2.27,15.05,2.347,0.053
34847,21.89,57.8,799,913,12667,19529,939.138,2.28,2.37,15.68,2.446,0.055
12757,20.7,50.76,1147,573,12819,19444,938.963,1.71,1.78,11.77,1.836,0.041
19574,19.561,48.37,1214,403,12920,19424,938.711,1.4,1.46,9.65,1.505,0.034
31409,18.96,55.63,194,400,13153,20073,939.641,0.78,0.81,5.36,0.835,0.019
40981,27.06,47.25,1117,409,12879,19449,938.791,1.37,1.42,9.41,1.468,0.033
27267,18.18,49.11,24,400,13199,20143,939.623,1.19,1.24,8.22,1.282,0.029
53264,25.71,48.24,133,400,12789,20589,937.322,1.91,1.99,13.17,2.054,0.046
41554,24.43,53.77,1147,400,12889,19445,938.761,1.6,1.66,11.01,1.716,0.039
22545,-19.315,53.22,1331,403,12966,19393,938.774,1.78,1.85,12.23,1.906,0.043
49585,24.38,53.82,1354,422,12988,19396,938.812,1.98,2.06,13.65,2.128,0.048
56337,59.19,14.96,60000,3418,11914,17088,936.804,9063.51,17507.45,42052.11,19403.848,8073.367
51490,29.7,39.57,40,400,12842,20755,937.583,2.25,2.34,15.5,2.417,0.055
17160,14.817,53.79,1157,404,12892,19443,938.812,1.42,1.47,9.76,1.523,0.034
51754,26.46,46.29,79,400,12827,20684,937.511,2.3,2.39,15.8,2.464,0.056
25767,15.21,50.04,1,400,12952,19899,939.77,0.22,0.23,1.55,0.241,0.005
32680,18.61,54.99,287,400,13118,19978,939.441,0.31,0.32,2.1,0.328,0.007
56809,48.42,14.68,695,400,13737,20498,936.697,0.67,0.7,4.61,0.718,0.016
41915,25.67,53.83,1078,400,12909,19457,938.772,1.96,2.03,13.47,2.101,0.047
42627,24.54,53.52,1117,405,12900,19447,938.714,1.38,1.43,9.5,1.482,0.033
13371,20.235,52.85,1187,538,12830,19426,938.897,1.67,1.74,11.51,1.795,0.041
60573,12.12,41.26,0,400,13413,21264,937.463,1.88,1.95,12.95,2.019,0.046
17915,17.916,50.33,1210,431,12897,19423,938.714,1.64,1.7,11.27,1.758,0.04
6434,-7.266,49.84,189,400,13163,20082,939.607,0.85,0.88,5.84,0.911,0.021
62463,-7.983,14.38,1515,400,13680,20283,936.685,0.9,0.94,6.2,0.966,0.022
6975,-5.404,50.35,231,400,13136,20038,939.592,0.66,0.68,4.54,0.707,0.016
14998,13.199,53.49,1074,440,12869,19460,938.831,1.78,1.85,12.27,1.914,0.043
280,23.476,56.77,13,400,12641,19701,939.784,0.16,0.25,0.9,0.272,0.084
62359,-17.227,13.07,2180,400,13614,20115,936.696,0.82,0.85,5.65,0.882,0.02
56417,57.57,12.16,60000,1022,12492,18121,936.702,334.91,400.05,2174.15,421.747,58.686
20304,13.313,47.97,1264,400,12937,19408,938.746,1.74,1.81,11.97,1.867,0.042
24380,-4.9,47.94,1367,405,12987,19394,938.797,1.84,1.91,12.65,1.973,0.045
4248,-3.006,52.94,125,400,13223,20098,939.649,2.06,2.14,14.19,2.213,0.05
15598,12.057,53.59,1172,429,12871,19432,938.825,1.77,1.83,12.15,1.895,0.043
4243,-2.958,52.13,123,400,13225,20097,939.656,2.04,2.12,14.04,2.189,0.049
23978,-14.575,52.15,1390,408,12972,19376,938.737,1.59,1.65,10.95,1.708,0.039
173,22.297,56.69,6,403,12571,19661,939.81,0.0,0.0,0.0,0.0,0.0
32597,20.57,51.93,266,400,13127,19996,939.468,0.36,0.37,2.46,0.384,0.009
39297,27.09,47.21,1096,474,12862,19453,938.932,2.24,2.33,15.44,2.408,0.054
2008,22.484,51.55,50,400,13133,19997,939.606,0.69,0.72,4.77,0.743,0.017
39607,25.4,48.53,1164,477,12847,19436,938.882,1.97,2.05,13.55,2.113,0.048
31604,21.12,50.67,200,400,13150,20069,939.609,0.87,0.9,5.99,0.934,0.021
5715,-9.14,49.71,34,400,13257,20227,939.664,2.1,2.18,14.45,2.253,0.051
21228,-0.763,53.28,1362,420,12948,19383,938.699,2.03,2.11,13.96,2.177,0.049
6705,-6.31,55.17,213,400,13142,20039,939.607,0.6,0.63,4.16,0.649,0.015
22926,-21.666,50.49,1325,400,12978,19404,938.734,1.66,1.73,11.45,1.785,0.04
61628,8.737,18.33,53,400,13553,21101,936.806,0.89,0.92,6.12,0.955,0.022
6995,-5.342,53.13,249,400,13126,20025,939.596,0.46,0.48,3.16,0.492,0.011
35197,22.98,56.02,942,719,12764,19492,939.069,2.59,2.69,17.8,2.775,0.063
30440,19.78,54.15,39,400,13244,20200,939.712,2.61,2.71,17.93,2.796,0.063
53347,28.76,41.55,109,400,12792,20610,937.35,1.8,1.87,12.36,1.928,0.044
53073,25.93,47.48,128,413,12782,20595,937.369,1.81,1.88,12.43,1.938,0.044
57305,23.974,44.07,70,400,12833,20709,937.542,1.93,2.01,13.3,2.074,0.047
46712,24.34,54.05,1383,415,12955,19387,938.701,2.43,2.53,16.74,2.611,0.059
20220,14.325,53.9,1159,400,12939,19441,938.725,2.12,2.2,14.6,2.277,0.051
53575,28.4,43.12,151,433,12776,20565,937.353,1.94,2.02,13.36,2.084,0.047
31771,18.63,56.19,236,400,13136,20036,939.603,0.72,0.74,4.93,0.769,0.017
47131,24.37,54.05,1373,402,12961,19392,938.722,1.87,1.94,12.85,2.004,0.045
50359,38.17,18.09,1170,19682,11615,19159,930.918,23.55,24.47,162.08,25.274,0.571
10074,-2.429,54.49,960,744,12757,19497,939.132,2.23,2.32,15.34,2.392,0.054
57503,15.416,46.57,67,400,12830,20692,937.497,2.2,2.29,15.16,2.365,0.053
34803,23.99,53.07,689,876,12685,19562,939.159,2.6,2.7,17.89,2.789,0.063
20713,7.585,47.55,1027,400,13003,19463,938.712,2.39,2.48,16.45,2.566,0.058
39362,27.16,46.96,1122,481,12856,19439,938.915,1.79,1.86,12.3,1.918,0.043
59837,20.806,48.58,167,424,12771,20550,937.367,1.55,1.61,10.66,1.662,0.038
57911,-4.925,46.18,74,400,12787,20674,937.535,2.17,2.25,14.91,2.325,0.053
30764,21.73,50.58,39,400,13257,20220,939.711,2.32,2.41,15.97,2.491,0.056
13274,20.476,47.73,1118,525,12841,19447,938.898,2.28,2.36,15.66,2.442,0.055
41623,26.64,49.0,1157,404,12890,19435,938.744,1.64,1.71,11.3,1.762,0.04
47721,24.51,53.45,1329,401,12971,19395,938.751,2.4,2.49,16.51,2.574,0.058
42327,24.52,53.52,1168,400,12897,19432,938.76,1.84,1.91,12.67,1.975,0.045
37108,24.43,53.16,1105,600,12814,19455,939.029,1.79,1.86,12.32,1.921,0.043
24415,-3.84,53.98,1344,408,12986,19388,938.806,1.68,1.74,11.55,1.8,0.041
43089,25.16,50.38,1220,415,12905,19427,938.715,1.62,1.69,11.17,1.742,0.039
2562,16.844,46.55,64,400,13193,20113,939.612,0.81,0.84,5.55,0.865,0.02
40291,24.51,53.42,1172,440,12861,19437,938.824,2.09,2.17,14.36,2.239,0.051
13619,19.408,53.32,1126,515,12847,19455,938.863,1.71,1.78,11.77,1.836,0.041
9981,-3.005,55.38,760,707,12776,19542,939.161,2.62,2.72,18.04,2.813,0.064
49020,26.98,47.78,1247,400,13002,19411,938.768,1.58,1.64,10.89,1.698,0.038
14127,17.099,47.02,1086,487,12865,19469,938.913,2.1,2.18,14.44,2.252,0.051
7751,-4.08,56.42,303,400,13116,19969,939.428,0.42,0.44,2.89,0.451,0.01
6667,-6.444,51.58,202,400,13153,20052,939.597,0.63,0.65,4.32,0.674,0.015
31079,21.91,49.04,137,400,13192,20128,939.644,1.37,1.42,9.43,1.471,0.033
44964,24.55,53.58,1224,406,12925,19427,938.741,1.46,1.52,10.05,1.567,0.035
19761,18.517,47.87,1199,400,12924,19431,938.706,1.46,1.52,10.04,1.566,0.035
42921,24.64,53.08,1163,406,12904,19440,938.724,1.69,1.75,11.63,1.813,0.041
46269,25.09,50.45,1364,415,12941,19387,938.701,1.72,1.78,11.82,1.844,0.042
43581,24.65,53.14,1216,401,12912,19430,938.733,1.75,1.82,12.07,1.882,0.043
20992,3.148,53.53,1343,412,12941,19385,938.7,1.95,2.03,13.45,2.097,0.047
1281,26.786,54.21,30,400,13058,19936,939.703,0.5,0.52,3.41,0.532,0.012
43694,24.92,52.16,1266,409,12905,19420,938.707,1.91,1.99,13.17,2.054,0.046
40930,25.07,50.75,1151,429,12874,19434,938.774,1.77,1.84,12.18,1.9,0.043
15736,12.0,47.81,1163,406,12880,19443,938.791,1.83,1.9,12.59,1.964,0.044
31507,19.61,51.64,214,400,13143,20054,939.598,0.65,0.68,4.5,0.701,0.016
23026,-21.923,53.38,1348,408,12969,19396,938.708,1.86,1.94,12.83,2.001,0.045
16521,12.89,47.62,1122,400,12891,19445,938.775,1.69,1.76,11.63,1.814,0.041
40830,24.51,53.45,1155,410,12879,19444,938.807,1.79,1.86,12.31,1.92,0.043
32778,21.02,49.77,291,400,13123,19975,939.429,0.35,0.37,2.43,0.38,0.009
13983,17.805,51.78,1028,470,12864,19475,938.916,1.77,1.84,12.18,1.899,0.043
34936,24.69,50.75,695,718,12773,19560,939.153,2.21,2.3,15.22,2.374,0.054
9246,-5.189,65.96,564,649,12811,19693,939.239,3.02,3.14,20.77,3.239,0.073
46282,24.52,53.39,1300,405,12952,19397,938.685,1.83,1.9,12.6,1.964,0.044
42983,24.61,53.27,1166,412,12910,19449,938.699,1.61,1.67,11.05,1.724,0.039
51537,29.3,40.51,65,400,12833,20706,937.55,1.99,2.07,13.72,2.139,0.048
34035,18.28,57.89,367,400,13056,19903,939.287,0.28,0.29,1.94,0.302,0.007
52783,25.84,47.89,100,400,12779,20621,937.417,1.7,1.77,11.71,1.826,0.041
14791,13.956,47.0,1247,497,12847,19424,938.844,2.24,2.32,15.39,2.4,0.054
58075,-8.89,40.75,86,400,12789,20658,937.48,1.93,2.01,13.31,2.075,0.047
54987,24.75,45.55,0,400,13298,21178,937.325,1.58,1.65,10.91,1.701,0.038
7726,-4.081,49.9,286,400,13124,19981,939.429,0.39,0.41,2.69,0.419,0.009
1941,23.051,54.02,73,400,13119,19987,939.597,0.64,0.66,4.4,0.685,0.015
43725,26.75,48.62,1224,400,12916,19416,938.71,1.48,1.53,10.16,1.584,0.036
10926,5.487,53.94,1000,668,12790,19472,939.045,2.5,2.59,17.18,2.679,0.061
12216,18.402,50.48,1086,600,12814,19461,939.029,2.21,2.29,15.2,2.371,0.054
11806,14.997,52.69,1094,611,12815,19456,939.077,2.03,2.11,13.96,2.177,0.049
34554,22.42,61.4,681,753,12766,19583,939.135,2.66,2.76,18.28,2.851,0.064
37139,26.96,47.1,1025,566,12823,19472,939.019,1.66,1.72,11.4,1.778,0.04
19388,20.262,49.48,1199,400,12927,19430,938.674,1.77,1.83,12.16,1.895,0.043
15269,12.494,47.09,1097,425,12878,19457,938.808,1.49,1.54,10.23,1.595,0.036
1326,26.655,48.8,15,400,13082,19972,939.711,0.49,0.51,3.37,0.525,0.012
41611,24.51,53.56,1203,406,12886,19431,938.774,1.72,1.79,11.84,1.846,0.042
56826,46.37,15.67,781,400,13712,20485,936.69,0.56,0.58,3.84,0.599,0.014
12139,17.853,47.42,1088,584,12818,19458,939.04,1.72,1.79,11.86,1.85,0.042
43860,27.08,47.56,1157,400,12917,19436,938.692,1.46,1.52,10.05,1.567,0.035
59664,17.477,48.96,153,418,12782,20571,937.381,1.6,1.66,11.01,1.717,0.039
58780,-4.438,42.24,127,400,12784,20590,937.378,1.95,2.03,13.44,2.095,0.047
61996,-16.101,23.1,60000,24804,10886,15578,936.803,10460.22,24260.26,38344.5,27243.551,13253.508
27822,20.09,51.25,96,400,13197,20082,939.659,0.96,1.0,6.61,1.03,0.023
29936,22.29,48.65,27,400,13256,20194,939.712,2.21,2.3,15.23,2.375,0.054
39960,27.06,47.28,1055,427,12868,19460,938.845,2.08,2.16,14.29,2.228,0.05
38678,26.33,50.9,1069,490,12850,19465,938.887,2.22,2.31,15.29,2.384,0.054
48884,26.56,49.3,1344,402,12978,19391,938.712,1.83,1.91,12.62,1.968,0.044
46155,24.76,52.46,1323,400,12953,19400,938.692,1.75,1.82,12.08,1.883,0.043
25050,12.48,56.64,0,400,12532,19626,939.721,0.01,0.02,0.01,0.026,0.015
31197,21.77,49.06,162,400,13182,20104,939.67,0.81,0.84,5.58,0.869,0.02
39277,26.23,51.77,1051,465,12867,19461,938.914,2.17,2.25,14.94,2.329,0.053
48616,24.66,52.96,1398,413,12969,19374,938.722,1.59,1.66,10.96,1.71,0.039
32033,21.09,50.02,238,400,13139,20036,939.548,0.46,0.48,3.18,0.495,0.011
52002,26.15,47.05,111,408,12782,20636,937.568,1.88,1.95,12.93,2.016,0.046
31231,19.12,55.57,178,400,13166,20087,939.651,0.96,1.0,6.64,1.036,0.023
38580,27.11,46.98,1109,511,12848,19451,938.879,2.0,2.07,13.74,2.142,0.048
27171,17.16,54.32,0,400,13181,20110,939.599,0.96,1.0,6.62,1.033,0.023
18218,19.122,51.58,1212,415,12902,19426,938.706,1.74,1.81,11.99,1.87,0.042
30240,22.25,48.47,0,400,13262,20228,939.697,2.95,3.07,20.33,3.17,0.072
37213,24.83,51.46,1038,577,12827,19473,939.039,2.09,2.17,14.35,2.238,0.051
36889,26.68,47.8,1122,594,12812,19458,939.031,1.97,2.05,13.56,2.115,0.048
53204,25.67,48.31,148,413,12781,20564,937.358,1.99,2.07,13.68,2.134,0.048
57876,-3.578,42.33,78,400,12782,20663,937.551,2.2,2.28,15.13,2.36,0.053
33470,18.44,56.39,347,400,13090,19919,939.321,0.21,0.21,1.42,0.221,0.005
25863,15.18,52.06,1,400,12997,19927,939.739,0.3,0.31,2.04,0.319,0.007
41864,26.68,48.78,1120,400,12894,19447,938.74,1.74,1.81,11.98,1.868,0.042
50110,23.28,63.81,397,1391,12990,19564,931.221,13058.99,34631.77,36955.94,39207.574,20763.148
18797,20.651,48.02,1208,400,12912,19426,938.703,1.83,1.9,12.6,1.965,0.044
41409,25.16,50.19,1120,413,12879,19448,938.747,2.01,2.09,13.85,2.16,0.049
7281,-4.58,49.57,271,400,13117,19990,939.514,0.49,0.51,3.39,0.528,0.012
29078,21.43,53.26,96,400,13238,20121,939.623,2.16,2.24,14.86,2.317,0.052
48410,26.75,48.43,1373,400,12974,19385,938.716,1.79,1.86,12.35,1.926,0.043
4785,-7.256,53.27,31,400,13251,20185,939.678,2.13,2.22,14.69,2.291,0.052
19127,20.745,53.24,1272,416,12914,19417,938.708,1.44,1.49,9.9,1.543,0.035
56596,54.1,12.59,4617,400,13413,19721,936.668,0.74,0.77,5.1,0.795,0.018
25075,13.7,49.44,6,400,12540,19638,939.777,0.03,0.09,0.01,0.106,0.065
32777,21.01,49.81,296,400,13124,19972,939.426,0.39,0.4,2.66,0.414,0.009
37776,26.0,52.66,1038,533,12845,19474,938.936,2.0,2.07,13.74,2.143,0.048
53478,26.65,44.26,143,416,12781,20572,937.327,1.95,2.03,13.44,2.096,0.047
28957,21.12,53.41,116,400,13238,20099,939.661,2.31,2.4,15.87,2.475,0.056
40872,24.99,51.44,1140,415,12870,19436,938.797,1.84,1.91,12.64,1.971,0.045
